epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,673.18,3.95845,5.51949,4.28277,0.00058,0.00096,0.00015,2e-05,4e-05,3.73085,inf,4.78053,0.00332508,0.00332508,0.00332508
2,921.532,2.56323,3.18069,2.7725,0.57313,0.19358,0.17576,0.08657,0.0919,1.85036,2.11615,2.09016,0.0065925,0.0065925,0.0065925
3,1168.57,1.68116,1.81681,1.78485,0.56219,0.29004,0.27775,0.15932,0.15723,1.5267,1.56651,1.72629,0.00979391,0.00979391,0.00979391
4,1414.78,1.43308,1.41296,1.54741,0.56602,0.37569,0.37965,0.22089,0.22095,1.30227,1.18543,1.50531,0.009703,0.009703,0.009703
5,1662.54,1.29374,1.17416,1.42728,0.60806,0.44901,0.43831,0.26908,0.26338,1.20932,1.0198,1.43031,0.009604,0.009604,0.009604
6,1908.67,1.22117,1.0474,1.3724,0.61696,0.48613,0.49445,0.30398,0.29939,1.13934,0.92986,1.37055,0.009505,0.009505,0.009505
7,2154.45,1.16953,0.96813,1.33425,0.65805,0.52815,0.53359,0.33437,0.32655,1.09653,0.86908,1.33014,0.009406,0.009406,0.009406
8,2400.38,1.13182,0.91398,1.30688,0.64727,0.55917,0.5554,0.35377,0.34356,1.06738,0.83042,1.30752,0.009307,0.009307,0.009307
9,2646.67,1.11075,0.87789,1.28923,0.68264,0.57245,0.58022,0.37337,0.36102,1.03759,0.78739,1.28125,0.009208,0.009208,0.009208
10,2892.68,1.08618,0.84659,1.27407,0.65582,0.5932,0.60246,0.38329,0.37429,1.0226,0.76476,1.26592,0.009109,0.009109,0.009109
11,3138.77,1.06997,0.81998,1.26103,0.66725,0.6141,0.61435,0.39863,0.38677,1.00544,0.73908,1.25527,0.00901,0.00901,0.00901
