epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,793.599,3.96142,5.55991,4.25863,0.0005,0.01511,0.00031,4e-05,9e-05,3.7574,5.53359,4.36982,0.00332508,0.00332508,0.00332508
2,1027.21,2.60476,3.28445,2.81849,0.66133,0.16434,0.16581,0.0931,0.09307,1.82656,2.16699,2.07781,0.0065925,0.0065925,0.0065925
3,1261.41,1.68311,1.81549,1.78592,0.58432,0.30025,0.29257,0.17044,0.16758,1.44793,1.6107,1.65892,0.00979391,0.00979391,0.00979391
4,1494.15,1.43267,1.40262,1.54391,0.59776,0.37145,0.37123,0.21434,0.21407,1.31433,1.17766,1.51831,0.009703,0.009703,0.009703
5,1726.84,1.29647,1.16053,1.42742,0.60059,0.44428,0.42976,0.26261,0.25781,1.19966,1.02786,1.41468,0.009604,0.009604,0.009604
6,1960.07,1.22737,1.0425,1.3745,0.64181,0.46852,0.48304,0.29291,0.28919,1.16443,0.95104,1.37668,0.009505,0.009505,0.009505
7,2192.95,1.17737,0.96354,1.33665,0.6714,0.51178,0.51501,0.32474,0.31665,1.10356,0.87058,1.33744,0.009406,0.009406,0.009406
8,2426.12,1.14031,0.91378,1.3099,0.67164,0.54112,0.54588,0.34408,0.33585,1.07425,0.82646,1.30664,0.009307,0.009307,0.009307
9,2659.37,1.1178,0.88003,1.29263,0.70029,0.55544,0.57649,0.36837,0.3584,1.04606,0.79527,1.28256,0.009208,0.009208,0.009208
10,2891.84,1.09433,0.84995,1.27714,0.70268,0.57895,0.5945,0.38046,0.37087,1.02892,0.76254,1.26913,0.009109,0.009109,0.009109
11,3125.02,1.07597,0.82172,1.26332,0.66357,0.60134,0.60577,0.39107,0.37986,1.01075,0.74487,1.2543,0.00901,0.00901,0.00901
12,3357.1,1.06313,0.80635,1.25258,0.6865,0.61271,0.6291,0.40418,0.395,0.9948,0.71865,1.23891,0.008911,0.008911,0.008911
13,3589.14,1.05002,0.78779,1.244,0.69151,0.63774,0.64289,0.41939,0.40492,0.98333,0.70937,1.22806,0.008812,0.008812,0.008812
14,3822.52,1.0398,0.77145,1.23321,0.70599,0.63743,0.65139,0.42826,0.41514,0.97186,0.68793,1.22488,0.008713,0.008713,0.008713
15,4056,1.02523,0.75723,1.22582,0.7079,0.64842,0.66358,0.43604,0.42354,0.95858,0.67366,1.21161,0.008614,0.008614,0.008614
16,4290.04,1.02188,0.75022,1.22189,0.72065,0.65897,0.67364,0.44924,0.43337,0.95118,0.66176,1.20313,0.008515,0.008515,0.008515
17,4520.9,1.00806,0.73545,1.21487,0.72677,0.66408,0.68102,0.45946,0.44107,0.93831,0.64909,1.19499,0.008416,0.008416,0.008416
18,4748.75,1.00175,0.72541,1.20861,0.73326,0.67285,0.68892,0.46543,0.44719,0.92991,0.64355,1.19088,0.008317,0.008317,0.008317
19,4977.03,0.99603,0.71871,1.20699,0.72297,0.68665,0.6941,0.47399,0.45225,0.92423,0.63692,1.18301,0.008218,0.008218,0.008218
20,5205.27,0.98806,0.70887,1.199,0.73766,0.68346,0.70127,0.48065,0.45883,0.91597,0.62991,1.17815,0.008119,0.008119,0.008119
21,5433.11,0.98419,0.70561,1.19894,0.73394,0.69575,0.70661,0.48584,0.46441,0.90893,0.61912,1.1734,0.00802,0.00802,0.00802
22,5661.59,0.97705,0.69519,1.19187,0.73796,0.70062,0.71151,0.49002,0.46785,0.90526,0.61484,1.16959,0.007921,0.007921,0.007921
23,5889.54,0.97254,0.68928,1.1893,0.74726,0.70087,0.71784,0.49795,0.47366,0.90056,0.60753,1.16591,0.007822,0.007822,0.007822
