epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,331.204,3.92431,5.61645,4.25978,0.06067,0.00415,0.00045,3e-05,0.0001,3.62458,inf,5.07974,0.00332508,0.00332508,0.00332508
2,565.945,2.6926,3.59841,2.91811,0.64836,0.17074,0.15363,0.07865,0.08129,1.91245,2.26037,2.14461,0.0065925,0.0065925,0.0065925
3,799.137,1.71672,1.90068,1.80614,0.5809,0.26604,0.26538,0.15349,0.15156,1.4924,1.67302,1.69072,0.00979391,0.00979391,0.00979391
4,1029.34,1.45491,1.45237,1.55348,0.62401,0.34246,0.35237,0.21053,0.20708,1.3075,1.29892,1.51708,0.009703,0.009703,0.009703
5,1259.93,1.31988,1.21139,1.43916,0.57185,0.43356,0.41724,0.25296,0.24899,1.2163,1.06767,1.43356,0.009604,0.009604,0.009604
6,1488.91,1.24803,1.08926,1.38506,0.53265,0.45957,0.45637,0.27895,0.27381,1.17724,0.99106,1.39,0.009505,0.009505,0.009505
7,1775.49,1.19781,1.00397,1.34713,0.65614,0.51216,0.51486,0.32184,0.31317,1.12975,0.90245,1.3472,0.009406,0.009406,0.009406
8,2008.1,1.15649,0.94693,1.31775,0.63634,0.54999,0.54536,0.34536,0.33445,1.08711,0.85763,1.31217,0.009307,0.009307,0.009307
9,2240.61,1.13464,0.91108,1.30027,0.68741,0.5599,0.57119,0.36551,0.35256,1.06003,0.81727,1.29547,0.009208,0.009208,0.009208
10,2473.31,1.10666,0.87773,1.28274,0.68796,0.57129,0.58932,0.37786,0.36676,1.03547,0.78502,1.27139,0.009109,0.009109,0.009109
11,2706.61,1.08856,0.84919,1.267,0.6633,0.60214,0.60283,0.38517,0.37628,1.02328,0.76949,1.25982,0.00901,0.00901,0.00901
12,2939.01,1.07351,0.82799,1.25616,0.69302,0.607,0.62161,0.4053,0.39239,1.00072,0.74129,1.24016,0.008911,0.008911,0.008911
13,3183.28,1.06127,0.8079,1.24791,0.69318,0.63044,0.63499,0.41526,0.40203,0.99126,0.72529,1.23435,0.008812,0.008812,0.008812
14,3505.61,1.05022,0.79167,1.2371,0.69966,0.64271,0.64573,0.42191,0.41099,0.97655,0.70263,1.22457,0.008713,0.008713,0.008713
15,3834.33,1.03363,0.77527,1.22801,0.6924,0.64371,0.6528,0.43478,0.41859,0.96557,0.69458,1.21304,0.008614,0.008614,0.008614
16,4184.55,1.02933,0.76744,1.22377,0.71302,0.65698,0.66576,0.44709,0.43018,0.95424,0.67791,1.20291,0.008515,0.008515,0.008515
17,4506.84,1.01744,0.75255,1.21695,0.71548,0.66036,0.67119,0.45142,0.43379,0.94602,0.66646,1.19579,0.008416,0.008416,0.008416
18,4829.2,1.0091,0.74068,1.20941,0.71955,0.66375,0.6754,0.45606,0.43861,0.94152,0.66001,1.19122,0.008317,0.008317,0.008317
19,5151.13,1.00325,0.73368,1.20684,0.71434,0.67822,0.68348,0.46315,0.44454,0.93163,0.65067,1.18541,0.008218,0.008218,0.008218
20,5473.37,0.99701,0.72353,1.20126,0.72965,0.67916,0.69076,0.47131,0.45088,0.9249,0.64204,1.17923,0.008119,0.008119,0.008119
21,5796.28,0.99178,0.71941,1.19946,0.7266,0.68542,0.69817,0.4816,0.45897,0.9184,0.63094,1.17335,0.00802,0.00802,0.00802
22,6118.94,0.98362,0.71016,1.19235,0.73695,0.68946,0.70266,0.48373,0.46218,0.9127,0.62657,1.16878,0.007921,0.007921,0.007921
23,6441.37,0.97983,0.70211,1.18984,0.73441,0.69149,0.7047,0.48744,0.46446,0.90604,0.62123,1.16573,0.007822,0.007822,0.007822
24,6765.52,0.97203,0.69758,1.18572,0.73872,0.69301,0.71101,0.49325,0.47022,0.90263,0.61406,1.16113,0.007723,0.007723,0.007723
25,7088.42,0.9699,0.69291,1.18355,0.73889,0.70193,0.71299,0.49565,0.47113,0.8992,0.6091,1.15918,0.007624,0.007624,0.007624
26,7410.52,0.96771,0.68674,1.18136,0.74296,0.70494,0.71706,0.49729,0.4751,0.89412,0.60475,1.15474,0.007525,0.007525,0.007525
27,7735.82,0.96158,0.68246,1.17814,0.74744,0.70844,0.71694,0.50122,0.47638,0.89139,0.60081,1.15229,0.007426,0.007426,0.007426
28,8059.08,0.95623,0.6748,1.17438,0.7455,0.7131,0.7215,0.50605,0.48058,0.88723,0.59563,1.14917,0.007327,0.007327,0.007327
29,8381.01,0.95171,0.67073,1.16866,0.74971,0.7155,0.72419,0.50857,0.48322,0.88658,0.59184,1.14732,0.007228,0.007228,0.007228
30,8702.5,0.94964,0.6663,1.16691,0.75696,0.71242,0.72763,0.50986,0.48495,0.88217,0.58828,1.14511,0.007129,0.007129,0.007129
31,9024.41,0.94613,0.66259,1.16747,0.75252,0.71892,0.72878,0.51397,0.4867,0.88003,0.5856,1.14333,0.00703,0.00703,0.00703
32,9346.43,0.9418,0.65727,1.16405,0.75667,0.7202,0.73237,0.51621,0.48965,0.87712,0.58314,1.14097,0.006931,0.006931,0.006931
33,9668.5,0.9409,0.6553,1.16197,0.75686,0.71934,0.73496,0.51662,0.49132,0.87498,0.58091,1.13971,0.006832,0.006832,0.006832
34,9990.97,0.93811,0.6507,1.16161,0.75835,0.72218,0.73701,0.51916,0.49282,0.87416,0.57708,1.13843,0.006733,0.006733,0.006733
35,10312.9,0.93339,0.64753,1.15801,0.75845,0.72747,0.7381,0.52212,0.49454,0.87268,0.57512,1.13703,0.006634,0.006634,0.006634
36,10635.1,0.93242,0.6448,1.15772,0.75951,0.72838,0.73887,0.52353,0.49581,0.87078,0.57287,1.13582,0.006535,0.006535,0.006535
37,10957,0.92641,0.63862,1.15247,0.7577,0.72972,0.73949,0.52342,0.49709,0.86847,0.57055,1.13391,0.006436,0.006436,0.006436
38,11277.9,0.92439,0.63728,1.15097,0.75682,0.73189,0.74184,0.52663,0.49842,0.8673,0.5687,1.13295,0.006337,0.006337,0.006337
39,11596.9,0.91993,0.63225,1.14958,0.75823,0.73192,0.74346,0.5286,0.49987,0.8659,0.56719,1.13197,0.006238,0.006238,0.006238
40,11910.9,0.91959,0.62981,1.14913,0.76094,0.73367,0.74479,0.52896,0.50117,0.86476,0.56556,1.13093,0.006139,0.006139,0.006139
41,12224,0.91759,0.62686,1.14643,0.76137,0.73354,0.74501,0.53,0.50224,0.86378,0.56384,1.13022,0.00604,0.00604,0.00604
42,12536.8,0.91366,0.62406,1.14507,0.7624,0.73511,0.74671,0.52959,0.50287,0.86285,0.56225,1.12958,0.005941,0.005941,0.005941
43,12849.5,0.91094,0.61981,1.14113,0.76089,0.73776,0.74755,0.53098,0.50387,0.86201,0.56089,1.12893,0.005842,0.005842,0.005842
44,13162.4,0.90876,0.61725,1.13972,0.76119,0.73819,0.74801,0.5321,0.50444,0.86103,0.55954,1.1282,0.005743,0.005743,0.005743
45,13475.3,0.90747,0.6157,1.1395,0.76107,0.74002,0.74889,0.53395,0.50531,0.86017,0.55849,1.1275,0.005644,0.005644,0.005644
46,13788.2,0.90726,0.61392,1.13911,0.76389,0.73875,0.74969,0.5345,0.50594,0.85941,0.55752,1.12687,0.005545,0.005545,0.005545
47,14100.9,0.90384,0.6119,1.13725,0.76337,0.74035,0.75001,0.53545,0.50659,0.85862,0.55648,1.12623,0.005446,0.005446,0.005446
48,14419.7,0.90137,0.6094,1.13629,0.76533,0.74005,0.75039,0.5366,0.50728,0.8579,0.55556,1.12564,0.005347,0.005347,0.005347
49,14741.4,0.8979,0.60567,1.13408,0.76631,0.73984,0.7516,0.53783,0.50809,0.8571,0.55475,1.1251,0.005248,0.005248,0.005248
50,15063.2,0.89494,0.60278,1.13319,0.76735,0.74106,0.75201,0.53786,0.50865,0.85646,0.55392,1.12449,0.005149,0.005149,0.005149
51,15386.5,0.89433,0.60067,1.13081,0.76806,0.74111,0.75236,0.53789,0.50905,0.85565,0.55291,1.12374,0.00505,0.00505,0.00505
52,15710.2,0.89106,0.59838,1.12904,0.76686,0.74219,0.75308,0.53941,0.5099,0.85499,0.552,1.12307,0.004951,0.004951,0.004951
53,16031.4,0.88782,0.59496,1.12792,0.76897,0.74127,0.75367,0.53953,0.51051,0.85421,0.55116,1.12239,0.004852,0.004852,0.004852
54,16352.9,0.88485,0.59151,1.12452,0.76813,0.74356,0.75416,0.53925,0.51082,0.85366,0.55024,1.12178,0.004753,0.004753,0.004753
55,16674.6,0.88398,0.59071,1.12488,0.76925,0.74262,0.75451,0.54039,0.51137,0.85303,0.54935,1.1212,0.004654,0.004654,0.004654
56,16996.4,0.88379,0.59071,1.12513,0.76899,0.74414,0.7552,0.54084,0.51175,0.85244,0.54854,1.12067,0.004555,0.004555,0.004555
57,17318.4,0.88203,0.58783,1.12445,0.76852,0.74498,0.7557,0.54144,0.51247,0.85189,0.54776,1.12018,0.004456,0.004456,0.004456
58,17639.9,0.87678,0.58459,1.12134,0.7685,0.74655,0.75631,0.54174,0.51309,0.85143,0.54697,1.11965,0.004357,0.004357,0.004357
59,17961.4,0.87935,0.583,1.12118,0.77005,0.7473,0.75685,0.54165,0.51337,0.85078,0.54637,1.11909,0.004258,0.004258,0.004258
60,18282.9,0.87453,0.57913,1.11655,0.77058,0.74694,0.75694,0.54284,0.51419,0.85011,0.54567,1.11852,0.004159,0.004159,0.004159
61,18604.6,0.87363,0.58027,1.11668,0.7724,0.74637,0.75785,0.5441,0.51491,0.84934,0.54501,1.11788,0.00406,0.00406,0.00406
62,18926.9,0.86943,0.57505,1.11403,0.77251,0.74845,0.75888,0.54549,0.51562,0.84879,0.54423,1.11735,0.003961,0.003961,0.003961
63,19250.8,0.86713,0.57304,1.11503,0.77257,0.74859,0.75962,0.54544,0.51604,0.84805,0.5436,1.11682,0.003862,0.003862,0.003862
64,19560.5,0.86751,0.57291,1.11313,0.77383,0.74798,0.75998,0.54585,0.51653,0.8473,0.54271,1.11625,0.003763,0.003763,0.003763
65,19789.7,0.8616,0.56924,1.11082,0.77242,0.74959,0.76008,0.54639,0.51717,0.8467,0.54206,1.11568,0.003664,0.003664,0.003664
66,20020.5,0.86326,0.5674,1.1107,0.77513,0.74889,0.76094,0.54611,0.51782,0.84607,0.54131,1.11516,0.003565,0.003565,0.003565
67,20250.1,0.85826,0.56366,1.10755,0.7751,0.74927,0.76159,0.54763,0.51866,0.84544,0.54047,1.11466,0.003466,0.003466,0.003466
68,20479.7,0.85851,0.56549,1.10729,0.7755,0.74926,0.76215,0.54824,0.51934,0.8448,0.53975,1.11415,0.003367,0.003367,0.003367
69,20770.7,0.85659,0.56246,1.10519,0.77646,0.7492,0.76278,0.54969,0.5202,0.84434,0.53908,1.11366,0.003268,0.003268,0.003268
70,21092.6,0.85425,0.5611,1.10643,0.77667,0.74999,0.76299,0.54965,0.52042,0.84379,0.53836,1.11316,0.003169,0.003169,0.003169
