epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,322.622,3.03493,4.58126,3.74307,0.58104,0.11136,0.07754,0.027,0.03519,2.3511,3.31247,2.98633,0.00332508,0.00332508,0.00332508
2,1034.33,2.10155,2.68803,2.54292,0.56899,0.24718,0.23324,0.12531,0.12716,1.73995,2.129,2.24193,0.0065925,0.0065925,0.0065925
3,1265.44,1.67935,2.0206,2.03087,0.57687,0.31558,0.30442,0.17843,0.17488,1.51608,2.32629,1.93185,0.00979391,0.00979391,0.00979391
4,1895.52,1.45726,1.643,1.76014,0.52403,0.39092,0.39777,0.22644,0.22778,1.35012,1.47755,1.72209,0.009703,0.009703,0.009703
5,2130.95,1.33447,1.38636,1.61806,0.60881,0.45261,0.46864,0.28574,0.28156,1.23941,1.18908,1.60517,0.009604,0.009604,0.009604
6,2374.98,1.27083,1.23911,1.5514,0.56248,0.48693,0.50656,0.30662,0.30355,1.20507,1.08195,1.5546,0.009505,0.009505,0.009505
7,2619.4,1.22643,1.13364,1.50314,0.59094,0.54647,0.54083,0.33105,0.32732,1.16155,1.01238,1.5158,0.009406,0.009406,0.009406
8,3914.06,1.19438,1.06989,1.47119,0.65541,0.56135,0.57325,0.36012,0.34967,1.14333,0.94659,1.48975,0.009307,0.009307,0.009307
9,4222.28,1.17662,1.02519,1.44914,0.66904,0.57498,0.59318,0.37684,0.36678,1.11023,0.91678,1.46114,0.009208,0.009208,0.009208
10,4455.79,1.15433,0.98738,1.42931,0.68493,0.6003,0.6132,0.39467,0.38051,1.09634,0.87747,1.4402,0.009109,0.009109,0.009109
11,4685.73,1.1384,0.95476,1.41189,0.66086,0.61729,0.62376,0.40473,0.3907,1.0716,0.86195,1.4248,0.00901,0.00901,0.00901
12,4920.57,1.12746,0.93542,1.39867,0.68191,0.62699,0.63934,0.4165,0.40071,1.06888,0.83404,1.4131,0.008911,0.008911,0.008911
13,5550.48,1.1154,0.91594,1.3887,0.70608,0.62316,0.65408,0.42929,0.41363,1.04951,0.80735,1.39725,0.008812,0.008812,0.008812
14,5779.62,1.10687,0.89486,1.37527,0.70803,0.64732,0.6593,0.43868,0.4217,1.03374,0.78599,1.38276,0.008713,0.008713,0.008713
15,6015.2,1.09323,0.87815,1.36536,0.69335,0.6607,0.66714,0.44058,0.42608,1.0293,0.77982,1.37374,0.008614,0.008614,0.008614
16,6249.72,1.08891,0.86953,1.35994,0.71745,0.66817,0.67819,0.45511,0.43482,1.01859,0.75613,1.35977,0.008515,0.008515,0.008515
