epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,873.117,1.48992,0.87057,0.84074,0.88234,0.03847,0.01489,0.00563,0.0067,1.12805,0.90753,0.80474,0.00333127,0.00333127,0.00333127
2,1714.7,1.0017,0.81079,0.47241,0.62393,0.13631,0.08226,0.05166,0.04897,0.76444,1.02239,0.48989,0.00659862,0.00659862,0.00659862
3,2547.89,0.81295,0.81409,0.3324,0.61325,0.21093,0.17775,0.10892,0.10429,0.66247,0.98581,0.37386,0.00979998,0.00979998,0.00979998
4,3378.56,0.73655,0.78105,0.27415,0.60258,0.27808,0.25762,0.16378,0.15675,0.54663,0.95477,0.28281,0.009703,0.009703,0.009703
5,4212.6,0.66309,0.75281,0.23105,0.58922,0.32594,0.30529,0.19186,0.18384,0.50193,0.93624,0.24362,0.009604,0.009604,0.009604
6,5043.68,0.64035,0.73276,0.21403,0.57521,0.36898,0.35734,0.21775,0.21387,0.47285,0.89902,0.22502,0.009505,0.009505,0.009505
7,5872.93,0.60827,0.71776,0.19698,0.57591,0.40038,0.39362,0.24375,0.23827,0.44962,0.86966,0.20083,0.009406,0.009406,0.009406
8,6703.08,0.59035,0.70747,0.18789,0.56573,0.43894,0.42046,0.25565,0.25194,0.4452,0.8431,0.19349,0.009307,0.009307,0.009307
9,7532.34,0.5784,0.69417,0.17957,0.55323,0.45827,0.44567,0.29216,0.27945,0.41552,0.84274,0.186,0.009208,0.009208,0.009208
10,8363.09,0.57394,0.6846,0.17644,0.52956,0.49742,0.46604,0.30215,0.2896,0.40945,0.80847,0.17732,0.009109,0.009109,0.009109
11,9191.86,0.55474,0.67562,0.16969,0.54303,0.50965,0.48399,0.31486,0.30036,0.4096,0.80843,0.17702,0.00901,0.00901,0.00901
12,10023.3,0.55989,0.67345,0.16953,0.5576,0.53846,0.50863,0.3362,0.32183,0.39166,0.77479,0.17138,0.008911,0.008911,0.008911
13,10854,0.54514,0.66112,0.1641,0.55607,0.54925,0.52129,0.33632,0.3232,0.3985,0.77012,0.16973,0.008812,0.008812,0.008812
14,11685.6,0.54588,0.65621,0.16333,0.55975,0.55481,0.532,0.35484,0.33591,0.38489,0.75678,0.16662,0.008713,0.008713,0.008713
15,12515.3,0.55351,0.65661,0.16416,0.57126,0.5621,0.53618,0.35798,0.33898,0.38889,0.75263,0.1638,0.008614,0.008614,0.008614
16,13348.2,0.54493,0.64463,0.16102,0.5792,0.58275,0.55391,0.37531,0.35586,0.37297,0.73188,0.16047,0.008515,0.008515,0.008515
17,14176.6,0.52357,0.64062,0.15465,0.5923,0.58626,0.56456,0.38739,0.36562,0.37017,0.73774,0.15795,0.008416,0.008416,0.008416
18,15006,0.54517,0.64156,0.1609,0.58779,0.59495,0.56522,0.39449,0.36956,0.36151,0.736,0.15699,0.008317,0.008317,0.008317
19,15837.9,0.53616,0.63735,0.15765,0.59832,0.59953,0.57819,0.39847,0.37366,0.36626,0.72733,0.15525,0.008218,0.008218,0.008218
20,16667.9,0.52557,0.63394,0.15328,0.60611,0.60017,0.58252,0.40041,0.37627,0.36063,0.71681,0.15346,0.008119,0.008119,0.008119
21,17497.5,0.51361,0.62785,0.15058,0.62319,0.61026,0.59317,0.40746,0.38188,0.36365,0.71523,0.15363,0.00802,0.00802,0.00802
22,18327.2,0.51529,0.62134,0.14874,0.62471,0.6196,0.60277,0.41741,0.39159,0.35761,0.71219,0.1516,0.007921,0.007921,0.007921
23,19158.4,0.52885,0.62643,0.1539,0.62626,0.63136,0.60788,0.42256,0.39633,0.35316,0.69603,0.14977,0.007822,0.007822,0.007822
