epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,308.172,6.61463,10.7887,7.37312,0.75651,0.05531,0.04167,0.0148,0.01862,4.69372,6.36694,5.28346,0.00332508,0.00332508,0.00332508
2,570.375,4.13996,5.96833,4.20285,0.5179,0.16682,0.13577,0.07881,0.07746,3.43515,4.56775,3.75146,0.0065925,0.0065925,0.0065925
3,830.837,3.41157,4.32933,3.38905,0.53236,0.242,0.22886,0.13977,0.13251,3.11416,3.34748,3.38279,0.00979391,0.00979391,0.00979391
4,1093.6,3.05073,3.25331,3.0558,0.59991,0.30908,0.30675,0.1891,0.18177,2.79128,2.86922,3.0355,0.009703,0.009703,0.009703
5,1354.46,2.82203,2.69903,2.85462,0.48465,0.38748,0.36706,0.23577,0.22603,2.60154,2.43126,2.88296,0.009604,0.009604,0.009604
6,1602.02,2.7025,2.43218,2.76308,0.56506,0.41157,0.41455,0.26465,0.25461,2.51332,2.17223,2.79508,0.009505,0.009505,0.009505
7,1765.51,2.61503,2.25511,2.70113,0.57448,0.45321,0.45249,0.28769,0.27896,2.41509,2.00349,2.70899,0.009406,0.009406,0.009406
8,1929.3,2.54979,2.14372,2.65453,0.58788,0.49308,0.49511,0.31675,0.30415,2.38072,1.89093,2.67086,0.009307,0.009307,0.009307
9,2092.96,2.51228,2.05916,2.62201,0.61375,0.5163,0.51815,0.33892,0.32408,2.3072,1.80221,2.62364,0.009208,0.009208,0.009208
10,2256.81,2.46292,1.98985,2.59243,0.59763,0.5465,0.53588,0.34709,0.33439,2.29352,1.74802,2.60304,0.009109,0.009109,0.009109
11,2420.33,2.4348,1.92667,2.56731,0.61836,0.54784,0.54928,0.35653,0.34432,2.24275,1.70053,2.56429,0.00901,0.00901,0.00901
12,2584.47,2.40848,1.88925,2.54629,0.60757,0.57279,0.56526,0.37513,0.35814,2.21582,1.65948,2.54626,0.008911,0.008911,0.008911
13,2747.99,2.38639,1.85058,2.53443,0.62101,0.58509,0.58324,0.38697,0.37,2.19362,1.60702,2.52567,0.008812,0.008812,0.008812
14,2911.94,2.36791,1.81398,2.51342,0.62715,0.59271,0.58966,0.39393,0.37707,2.17274,1.57294,2.49951,0.008713,0.008713,0.008713
15,3115.43,2.34061,1.77945,2.49912,0.63791,0.60131,0.60347,0.40379,0.3866,2.14407,1.53353,2.48161,0.008614,0.008614,0.008614
16,3383.81,2.32798,1.76135,2.48975,0.66033,0.60675,0.61302,0.41086,0.39343,2.13088,1.51577,2.47196,0.008515,0.008515,0.008515
17,3696.17,2.3104,1.72851,2.47777,0.65547,0.61303,0.61625,0.41588,0.39712,2.11245,1.48997,2.45357,0.008416,0.008416,0.008416
18,4005.56,2.29443,1.70428,2.46443,0.66281,0.62309,0.62728,0.42789,0.40727,2.09769,1.45747,2.44193,0.008317,0.008317,0.008317
19,4290.93,2.2863,1.68811,2.46139,0.67247,0.64005,0.63652,0.43526,0.41395,2.08364,1.43917,2.42792,0.008218,0.008218,0.008218
20,4554.82,2.27167,1.65903,2.44827,0.66689,0.64045,0.64054,0.44077,0.41827,2.06992,1.41604,2.41677,0.008119,0.008119,0.008119
21,4818.28,2.26455,1.6492,2.44693,0.68557,0.64187,0.64971,0.44564,0.42413,2.05314,1.39426,2.40362,0.00802,0.00802,0.00802
22,5080.25,2.24879,1.63186,2.43104,0.6934,0.64443,0.65616,0.44988,0.42872,2.04634,1.38068,2.39822,0.007921,0.007921,0.007921
23,5342.63,2.24241,1.61434,2.42941,0.6867,0.65653,0.66089,0.45613,0.4335,2.03146,1.36973,2.38844,0.007822,0.007822,0.007822
24,5608.13,2.22764,1.6057,2.42325,0.69638,0.65452,0.66489,0.46307,0.4358,2.02258,1.35577,2.37773,0.007723,0.007723,0.007723
25,5870.25,2.22155,1.59621,2.41409,0.69552,0.65955,0.66494,0.46281,0.43772,2.00944,1.34061,2.36958,0.007624,0.007624,0.007624
26,6133.41,2.21672,1.57358,2.41028,0.70944,0.66106,0.67226,0.46985,0.44426,1.9984,1.32854,2.35947,0.007525,0.007525,0.007525
27,6395.5,2.20483,1.56975,2.40481,0.70647,0.66701,0.67719,0.47339,0.44802,1.99673,1.31743,2.35681,0.007426,0.007426,0.007426
28,6655.56,2.19735,1.55305,2.39624,0.711,0.67157,0.68197,0.47789,0.45157,1.98695,1.30656,2.34749,0.007327,0.007327,0.007327
29,6919.1,2.1877,1.53816,2.38705,0.71463,0.67566,0.68624,0.48134,0.45459,1.98193,1.29677,2.34308,0.007228,0.007228,0.007228
30,7185.1,2.18845,1.53192,2.3847,0.7141,0.6788,0.68798,0.4825,0.45637,1.97562,1.29209,2.33896,0.007129,0.007129,0.007129
31,7463.92,2.17174,1.52454,2.38001,0.72275,0.67688,0.69104,0.4871,0.45961,1.97118,1.28494,2.33387,0.00703,0.00703,0.00703
32,7771.84,2.16771,1.51145,2.37667,0.72795,0.67644,0.69371,0.48828,0.46142,1.96458,1.28112,2.32937,0.006931,0.006931,0.006931
33,8058.7,2.16707,1.50736,2.37289,0.73379,0.67681,0.69556,0.49047,0.46334,1.96138,1.27057,2.32715,0.006832,0.006832,0.006832
34,8325.06,2.15913,1.49843,2.36958,0.73306,0.67874,0.69718,0.49001,0.46401,1.95547,1.2659,2.32215,0.006733,0.006733,0.006733
35,8583.6,2.15073,1.48892,2.36393,0.73002,0.68439,0.69852,0.49378,0.46576,1.95041,1.26093,2.31795,0.006634,0.006634,0.006634
36,8847.26,2.14812,1.4847,2.36222,0.73264,0.68225,0.70133,0.49529,0.46772,1.94766,1.25504,2.3155,0.006535,0.006535,0.006535
37,9112.64,2.13808,1.47197,2.35286,0.73197,0.68461,0.70324,0.49811,0.46975,1.94341,1.25223,2.31237,0.006436,0.006436,0.006436
38,9376.76,2.13281,1.46512,2.34932,0.73433,0.68679,0.70448,0.49889,0.471,1.94155,1.24528,2.30931,0.006337,0.006337,0.006337
39,9642.47,2.12634,1.45922,2.34657,0.73165,0.68988,0.7057,0.50054,0.47228,1.93943,1.24396,2.30671,0.006238,0.006238,0.006238
40,9905.25,2.12205,1.45044,2.34415,0.73044,0.69491,0.70721,0.50104,0.47339,1.93685,1.24046,2.30404,0.006139,0.006139,0.006139
41,10168.3,2.12021,1.44609,2.33938,0.73003,0.69623,0.7082,0.50194,0.4745,1.93444,1.2377,2.30174,0.00604,0.00604,0.00604
42,10433.7,2.11046,1.44193,2.33484,0.73338,0.69487,0.70985,0.50367,0.47586,1.93251,1.23288,2.3001,0.005941,0.005941,0.005941
43,10696.7,2.10754,1.43116,2.32787,0.7383,0.6935,0.71127,0.50484,0.47715,1.93002,1.22933,2.29785,0.005842,0.005842,0.005842
44,10962.2,2.10197,1.42162,2.32487,0.7412,0.69513,0.71264,0.50586,0.47848,1.92826,1.22627,2.29589,0.005743,0.005743,0.005743
45,11253.3,2.10173,1.4188,2.32507,0.74076,0.69687,0.71361,0.50775,0.47956,1.92645,1.22345,2.29408,0.005644,0.005644,0.005644
46,11546.1,2.10039,1.41135,2.32309,0.74305,0.69635,0.71483,0.50878,0.48039,1.92494,1.22032,2.29257,0.005545,0.005545,0.005545
47,11829,2.09513,1.40515,2.32048,0.74125,0.69832,0.71489,0.50924,0.48082,1.92285,1.21896,2.29065,0.005446,0.005446,0.005446
48,12093.6,2.09027,1.40162,2.31864,0.74265,0.69871,0.71537,0.50925,0.48116,1.92179,1.21625,2.28976,0.005347,0.005347,0.005347
49,12356.2,2.08107,1.39491,2.31249,0.74171,0.69887,0.71616,0.50998,0.48205,1.92013,1.2142,2.288,0.005248,0.005248,0.005248
50,12618.5,2.07571,1.38736,2.3105,0.74373,0.69929,0.71668,0.51019,0.48256,1.91869,1.21283,2.28614,0.005149,0.005149,0.005149
51,12881.7,2.07536,1.38242,2.30658,0.74535,0.6984,0.71706,0.51125,0.48323,1.91735,1.21042,2.28468,0.00505,0.00505,0.00505
52,13145.6,2.06764,1.37791,2.30428,0.74626,0.69839,0.71916,0.51178,0.48437,1.91656,1.20724,2.28375,0.004951,0.004951,0.004951
53,13410.7,2.0601,1.37051,2.30086,0.74955,0.69785,0.72055,0.51364,0.48557,1.91489,1.20601,2.2822,0.004852,0.004852,0.004852
54,13673.5,2.05725,1.36241,2.29258,0.75056,0.698,0.72079,0.51426,0.48604,1.91381,1.20328,2.28122,0.004753,0.004753,0.004753
55,13938.9,2.05614,1.36121,2.29547,0.74767,0.70058,0.72138,0.51507,0.48674,1.91239,1.20094,2.27979,0.004654,0.004654,0.004654
56,14201.3,2.05162,1.35883,2.29673,0.74848,0.70134,0.72191,0.51558,0.48719,1.91112,1.199,2.27828,0.004555,0.004555,0.004555
57,14465,2.05148,1.35493,2.29419,0.74727,0.70214,0.72272,0.51657,0.48784,1.90967,1.19661,2.27714,0.004456,0.004456,0.004456
58,14732.6,2.04075,1.35125,2.28971,0.74679,0.70303,0.72299,0.51685,0.48804,1.90844,1.19389,2.27607,0.004357,0.004357,0.004357
59,15021.2,2.04443,1.34347,2.28716,0.74688,0.7031,0.72382,0.51775,0.48883,1.90701,1.19271,2.27433,0.004258,0.004258,0.004258
60,15308.6,2.03525,1.33208,2.27891,0.74795,0.70429,0.72461,0.51833,0.48972,1.90581,1.19058,2.27306,0.004159,0.004159,0.004159
61,15593.1,2.03712,1.33762,2.28021,0.74891,0.70637,0.72567,0.51913,0.49049,1.90411,1.18921,2.27158,0.00406,0.00406,0.00406
62,15856.7,2.02438,1.32313,2.27134,0.75,0.70647,0.72645,0.51949,0.49098,1.90261,1.18714,2.27011,0.003961,0.003961,0.003961
63,16118.7,2.02158,1.32045,2.27371,0.74936,0.70735,0.72728,0.52046,0.49173,1.90149,1.1849,2.26913,0.003862,0.003862,0.003862
64,16384.3,2.02203,1.31889,2.26984,0.75103,0.70618,0.72789,0.52044,0.49224,1.90002,1.18259,2.26803,0.003763,0.003763,0.003763
65,16649.3,2.01082,1.31359,2.26634,0.75432,0.70556,0.72873,0.52102,0.49303,1.8988,1.18018,2.26663,0.003664,0.003664,0.003664
66,16913.7,2.01589,1.30942,2.26628,0.75377,0.70735,0.72936,0.52118,0.49369,1.89768,1.17868,2.26535,0.003565,0.003565,0.003565
67,17179.1,2.00408,1.30096,2.25753,0.75461,0.70825,0.73032,0.52196,0.49427,1.89623,1.17776,2.26407,0.003466,0.003466,0.003466
68,17444.3,2.00339,1.30247,2.2593,0.75637,0.70931,0.73126,0.52339,0.49498,1.89544,1.17568,2.26323,0.003367,0.003367,0.003367
69,17709.6,2.00402,1.29857,2.25762,0.7564,0.71072,0.73187,0.52429,0.49583,1.89448,1.17345,2.26203,0.003268,0.003268,0.003268
70,17974.1,1.99499,1.2895,2.25884,0.75467,0.71222,0.73256,0.52523,0.49655,1.89338,1.17107,2.26099,0.003169,0.003169,0.003169
71,18237.5,1.99433,1.29235,2.25213,0.75787,0.71168,0.73298,0.52584,0.49707,1.89175,1.17016,2.25981,0.00307,0.00307,0.00307
72,18508.9,1.98504,1.28052,2.25133,0.75759,0.71396,0.7336,0.52631,0.49741,1.89037,1.16813,2.25851,0.002971,0.002971,0.002971
73,18792.7,1.98268,1.27779,2.24891,0.75842,0.71494,0.73376,0.52738,0.49784,1.88921,1.16632,2.25741,0.002872,0.002872,0.002872
74,19081.6,1.97592,1.26835,2.24342,0.75838,0.71379,0.73447,0.52848,0.49861,1.88833,1.16459,2.25641,0.002773,0.002773,0.002773
75,19369.4,1.97437,1.26698,2.24784,0.76107,0.7124,0.73526,0.52896,0.49915,1.88758,1.16286,2.25546,0.002674,0.002674,0.002674
76,19534.1,1.97103,1.26567,2.23947,0.76071,0.71386,0.73587,0.5299,0.50002,1.88619,1.16098,2.25414,0.002575,0.002575,0.002575
77,19698.2,1.97055,1.26344,2.23888,0.75982,0.71573,0.73662,0.53027,0.50051,1.88508,1.15844,2.25292,0.002476,0.002476,0.002476
78,19863.8,1.96243,1.25182,2.24006,0.76126,0.71513,0.737,0.53076,0.50118,1.88389,1.15645,2.25186,0.002377,0.002377,0.002377
79,20027.7,1.96007,1.25431,2.23678,0.75931,0.71791,0.73774,0.53173,0.502,1.88301,1.154,2.25096,0.002278,0.002278,0.002278
80,20192.1,1.95735,1.2482,2.23529,0.75946,0.71818,0.73877,0.53267,0.50271,1.88203,1.15164,2.24986,0.002179,0.002179,0.002179
81,20357.4,1.94351,1.23326,2.22752,0.76165,0.71851,0.73956,0.53372,0.50375,1.88094,1.14998,2.24887,0.00208,0.00208,0.00208
82,20522.1,1.94392,1.23731,2.22301,0.76138,0.71883,0.74015,0.53384,0.50412,1.87984,1.14797,2.24771,0.001981,0.001981,0.001981
83,20687.3,1.94217,1.23603,2.22526,0.76493,0.71696,0.74086,0.53487,0.50482,1.87859,1.14614,2.24647,0.001882,0.001882,0.001882
84,20853.9,1.9379,1.22698,2.22006,0.76515,0.71636,0.74158,0.53542,0.50542,1.87732,1.14505,2.24548,0.001783,0.001783,0.001783
