epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,387.418,3.24235,5.82861,0.02612,0.1175,0.01928,0.00616,0.00204,2.89084,5.03184,0.0325,0.00332508,0.00332508,0.0700743
2,1035.76,2.34452,3.67111,0.01633,0.65699,0.15346,0.12178,0.06163,1.93376,2.59036,0.01864,0.0065925,0.0065925,0.0400083
3,1292.67,1.90234,2.65623,0.01197,0.46981,0.23616,0.20882,0.11298,1.7229,2.06394,0.01527,0.00979391,0.00979391,0.00987642
4,1462.25,1.7143,2.05236,0.01023,0.50915,0.33461,0.31012,0.17772,1.52846,1.58754,0.01279,0.009703,0.009703,0.009703
5,1625.24,1.60419,1.68223,0.00923,0.51213,0.38207,0.37255,0.22022,1.415,1.36978,0.01153,0.009604,0.009604,0.009604
6,1788.86,1.53666,1.46235,0.00864,0.59782,0.42505,0.43362,0.25743,1.36004,1.20517,0.01109,0.009505,0.009505,0.009505
7,1953.52,1.49289,1.33745,0.00833,0.59188,0.46932,0.47083,0.27764,1.34792,1.12163,0.0108,0.009406,0.009406,0.009406
8,2116.7,1.4579,1.25409,0.00807,0.5608,0.49378,0.48234,0.29084,1.32545,1.07605,0.01054,0.009307,0.009307,0.009307
9,2280.54,1.43025,1.19486,0.00784,0.58299,0.52062,0.51104,0.3136,1.27405,1.00492,0.00983,0.009208,0.009208,0.009208
10,2442.76,1.4118,1.14917,0.00765,0.58231,0.53986,0.53597,0.33172,1.24654,0.96206,0.00948,0.009109,0.009109,0.009109
11,2605.97,1.39003,1.1029,0.00748,0.59047,0.55442,0.55696,0.3451,1.23023,0.9272,0.00937,0.00901,0.00901,0.00901
12,2771.61,1.37761,1.07486,0.00735,0.60994,0.57049,0.56818,0.35202,1.21026,0.89893,0.0092,0.008911,0.008911,0.008911
