epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,769.783,3.96339,5.58428,4.25656,0.00166,0.00499,0.00091,6e-05,0.00025,3.74834,5.12299,4.08139,0.00332508,0.00332508,0.00332508
2,1014.93,2.50122,3.07979,2.7107,0.6356,0.17374,0.16606,0.09497,0.09363,1.74827,2.11905,1.99836,0.0065925,0.0065925,0.0065925
3,1259.84,1.66386,1.81789,1.78304,0.57611,0.27189,0.27286,0.16447,0.15831,1.53126,1.56294,1.73542,0.00979391,0.00979391,0.00979391
4,1506.86,1.42785,1.41438,1.54796,0.61411,0.37172,0.36647,0.21584,0.21413,1.31346,1.19356,1.51368,0.009703,0.009703,0.009703
5,1750.27,1.2922,1.16733,1.42939,0.62791,0.44083,0.43894,0.26785,0.26453,1.18857,1.006,1.41835,0.009604,0.009604,0.009604
6,1989.82,1.22264,1.05045,1.37575,0.66545,0.46995,0.47991,0.29298,0.28878,1.14979,0.9366,1.37351,0.009505,0.009505,0.009505
7,2228.78,1.17535,0.97174,1.33946,0.6949,0.49925,0.5146,0.32115,0.31438,1.09571,0.8738,1.33578,0.009406,0.009406,0.009406
8,2467.84,1.13724,0.91846,1.31203,0.67083,0.53933,0.55421,0.34152,0.337,1.08139,0.82787,1.31774,0.009307,0.009307,0.009307
9,2707.63,1.11733,0.88547,1.29486,0.68277,0.5658,0.58049,0.36723,0.35818,1.04806,0.79088,1.28972,0.009208,0.009208,0.009208
10,2950.8,1.09431,0.85396,1.27941,0.65953,0.6019,0.6025,0.38195,0.37378,1.03164,0.7629,1.27393,0.009109,0.009109,0.009109
11,3195.55,1.07531,0.82608,1.26647,0.69252,0.60379,0.61399,0.40002,0.3858,1.01367,0.75027,1.26397,0.00901,0.00901,0.00901
12,3440.85,1.06192,0.80862,1.25522,0.70182,0.62369,0.63011,0.41423,0.40116,0.99557,0.72274,1.24525,0.008911,0.008911,0.008911
13,3691.61,1.05082,0.79148,1.24845,0.70112,0.62993,0.64448,0.42769,0.40989,0.98225,0.7011,1.236,0.008812,0.008812,0.008812
14,3942.67,1.038,0.77332,1.23681,0.71114,0.64482,0.65458,0.43803,0.42036,0.97009,0.68419,1.22786,0.008713,0.008713,0.008713
15,4194.71,1.02371,0.75732,1.22926,0.70198,0.65969,0.66835,0.44327,0.42813,0.96395,0.67219,1.22131,0.008614,0.008614,0.008614
16,4442.4,1.01993,0.75073,1.22567,0.7264,0.66507,0.67772,0.45466,0.43835,0.94855,0.66201,1.2105,0.008515,0.008515,0.008515
17,4690.85,1.00738,0.73573,1.21836,0.72774,0.66732,0.67932,0.45872,0.4397,0.94154,0.65288,1.20589,0.008416,0.008416,0.008416
18,4938.83,0.99949,0.72463,1.21148,0.73974,0.67701,0.69103,0.46656,0.44953,0.93157,0.64021,1.1961,0.008317,0.008317,0.008317
19,5240.83,0.99352,0.71746,1.20976,0.72802,0.68982,0.69467,0.47265,0.4544,0.92326,0.6321,1.19138,0.008218,0.008218,0.008218
20,5506.31,0.98716,0.70781,1.20264,0.73673,0.69086,0.70233,0.47623,0.45914,0.91776,0.62374,1.18491,0.008119,0.008119,0.008119
21,5756.52,0.98321,0.70362,1.20283,0.74401,0.69729,0.71007,0.48967,0.46765,0.91057,0.61313,1.17942,0.00802,0.00802,0.00802
22,6000.59,0.97498,0.69339,1.19473,0.74485,0.69851,0.71293,0.49176,0.47056,0.90583,0.60906,1.17644,0.007921,0.007921,0.007921
23,6244.88,0.97016,0.68752,1.19297,0.75217,0.70436,0.71605,0.49364,0.47381,0.89864,0.60073,1.17179,0.007822,0.007822,0.007822
24,6489.94,0.96494,0.68367,1.19068,0.75366,0.70961,0.72007,0.49941,0.47765,0.89421,0.59534,1.16799,0.007723,0.007723,0.007723
25,6735.5,0.96198,0.67773,1.18747,0.75599,0.71117,0.72322,0.5035,0.48055,0.89051,0.58852,1.16506,0.007624,0.007624,0.007624
26,6980.42,0.95935,0.67107,1.18583,0.76316,0.71155,0.73052,0.50835,0.48572,0.88722,0.58552,1.16302,0.007525,0.007525,0.007525
27,7224.25,0.9538,0.66829,1.18198,0.75974,0.71606,0.73164,0.50956,0.48723,0.88334,0.58188,1.16045,0.007426,0.007426,0.007426
28,7468.54,0.94769,0.66046,1.17782,0.76259,0.71765,0.7327,0.51726,0.49,0.8797,0.57637,1.158,0.007327,0.007327,0.007327
29,7713.97,0.94326,0.65678,1.17362,0.76256,0.71895,0.73365,0.5187,0.49227,0.87724,0.57372,1.15619,0.007228,0.007228,0.007228
30,7961.26,0.94251,0.65366,1.17215,0.76186,0.72219,0.73784,0.52336,0.49549,0.87415,0.56991,1.15409,0.007129,0.007129,0.007129
31,8207.05,0.93757,0.65015,1.17223,0.76512,0.72266,0.7393,0.5251,0.498,0.87168,0.56692,1.15154,0.00703,0.00703,0.00703
32,8451.84,0.93344,0.64465,1.1689,0.76987,0.72076,0.74195,0.52647,0.4996,0.86934,0.56522,1.14981,0.006931,0.006931,0.006931
33,8696.31,0.93236,0.64272,1.16688,0.76984,0.72603,0.74287,0.5287,0.50036,0.86694,0.56257,1.14842,0.006832,0.006832,0.006832
34,8940.17,0.92885,0.63852,1.16614,0.7665,0.73058,0.74511,0.53179,0.50244,0.86506,0.5601,1.14707,0.006733,0.006733,0.006733
35,9184.46,0.92487,0.63587,1.16309,0.76586,0.72922,0.74545,0.53356,0.50362,0.86335,0.55851,1.1458,0.006634,0.006634,0.006634
36,9428.69,0.92337,0.63238,1.16158,0.76644,0.73172,0.74648,0.5371,0.50526,0.86167,0.55632,1.14428,0.006535,0.006535,0.006535
37,9673.39,0.91812,0.62667,1.15786,0.76574,0.73751,0.74893,0.53718,0.5072,0.86007,0.55448,1.14322,0.006436,0.006436,0.006436
38,9917.83,0.91639,0.62463,1.1564,0.77012,0.73715,0.75023,0.53922,0.50826,0.85901,0.5525,1.14232,0.006337,0.006337,0.006337
39,10162,0.91183,0.6209,1.1557,0.7726,0.73738,0.75113,0.54126,0.50944,0.85738,0.55075,1.14125,0.006238,0.006238,0.006238
40,10405.7,0.91183,0.61889,1.15524,0.77076,0.74087,0.75304,0.54157,0.51036,0.85601,0.54937,1.14039,0.006139,0.006139,0.006139
41,10649.8,0.90949,0.61499,1.15145,0.77328,0.74152,0.754,0.54228,0.51158,0.85498,0.5478,1.13962,0.00604,0.00604,0.00604
42,10894.1,0.90524,0.61479,1.1497,0.77248,0.74201,0.75467,0.54268,0.51241,0.8539,0.54648,1.1388,0.005941,0.005941,0.005941
43,11138.7,0.90392,0.61011,1.14712,0.77229,0.74204,0.75534,0.54383,0.51325,0.85291,0.54524,1.13812,0.005842,0.005842,0.005842
44,11383.9,0.901,0.60727,1.14537,0.77273,0.74474,0.75653,0.54478,0.51403,0.85212,0.54435,1.13747,0.005743,0.005743,0.005743
45,11631.5,0.8985,0.60608,1.14458,0.77435,0.74387,0.75712,0.54534,0.51472,0.85118,0.5433,1.13661,0.005644,0.005644,0.005644
46,11877.4,0.89902,0.60288,1.14604,0.77473,0.7449,0.75763,0.54571,0.51499,0.85017,0.54218,1.13602,0.005545,0.005545,0.005545
47,12122.1,0.89624,0.60177,1.14383,0.77422,0.74533,0.75797,0.54598,0.51542,0.84958,0.5412,1.13556,0.005446,0.005446,0.005446
48,12368.1,0.89403,0.59882,1.14241,0.77593,0.74449,0.75841,0.54699,0.51588,0.849,0.54039,1.1351,0.005347,0.005347,0.005347
49,12614.4,0.88981,0.59779,1.13976,0.77806,0.74318,0.75904,0.54821,0.5165,0.84837,0.53937,1.13459,0.005248,0.005248,0.005248
50,12860.9,0.88815,0.59323,1.13906,0.77811,0.74436,0.75973,0.5485,0.51701,0.84763,0.53837,1.13391,0.005149,0.005149,0.005149
51,13107.3,0.88786,0.59026,1.13824,0.7784,0.74361,0.76021,0.54902,0.51802,0.84699,0.5375,1.13344,0.00505,0.00505,0.00505
52,13353.6,0.88427,0.58822,1.13668,0.77943,0.74407,0.76086,0.54966,0.51863,0.84632,0.53653,1.13293,0.004951,0.004951,0.004951
53,13598,0.88033,0.58506,1.13525,0.78013,0.74412,0.76112,0.5514,0.51937,0.84563,0.53576,1.13243,0.004852,0.004852,0.004852
54,13842.9,0.87816,0.58362,1.13131,0.77894,0.74609,0.7617,0.55169,0.52011,0.84497,0.53498,1.13196,0.004753,0.004753,0.004753
55,14087.5,0.87835,0.58286,1.13321,0.77979,0.74618,0.76251,0.55275,0.52066,0.8443,0.53422,1.13154,0.004654,0.004654,0.004654
56,14331.7,0.87714,0.58197,1.13365,0.77941,0.7465,0.76313,0.55379,0.52112,0.84372,0.53349,1.13118,0.004555,0.004555,0.004555
57,14576.4,0.87505,0.57942,1.13209,0.77929,0.74794,0.76348,0.55389,0.52166,0.84321,0.53276,1.13086,0.004456,0.004456,0.004456
58,14821.1,0.87106,0.57633,1.13013,0.77948,0.74866,0.76367,0.55481,0.522,0.84252,0.53192,1.13038,0.004357,0.004357,0.004357
59,15066.1,0.87315,0.57539,1.12955,0.78,0.74834,0.76417,0.5554,0.5227,0.84186,0.53124,1.12976,0.004258,0.004258,0.004258
60,15311.9,0.86819,0.57117,1.12535,0.78054,0.74889,0.7647,0.55551,0.52312,0.84124,0.53051,1.12931,0.004159,0.004159,0.004159
61,15556.7,0.86834,0.57337,1.12661,0.78111,0.74951,0.76546,0.55614,0.52386,0.84065,0.52987,1.12892,0.00406,0.00406,0.00406
62,15801.4,0.86344,0.56636,1.12197,0.78162,0.7496,0.76591,0.55662,0.52438,0.83999,0.52897,1.12842,0.003961,0.003961,0.003961
63,16046.4,0.86155,0.56609,1.1232,0.78229,0.74955,0.76651,0.55748,0.52521,0.83934,0.52836,1.12796,0.003862,0.003862,0.003862
64,16290.6,0.86124,0.56552,1.12154,0.78297,0.74996,0.76672,0.55845,0.52551,0.83875,0.52764,1.12753,0.003763,0.003763,0.003763
65,16534.7,0.85601,0.56209,1.11962,0.78434,0.74964,0.76736,0.55988,0.52637,0.83804,0.52684,1.1271,0.003664,0.003664,0.003664
66,16779.3,0.85665,0.5589,1.11872,0.78484,0.74881,0.76798,0.56014,0.52698,0.83744,0.52601,1.12671,0.003565,0.003565,0.003565
67,17023.9,0.85152,0.55631,1.11532,0.78565,0.74872,0.76847,0.55974,0.52742,0.83685,0.52538,1.12628,0.003466,0.003466,0.003466
68,17268.4,0.85221,0.55713,1.11596,0.78661,0.74911,0.76933,0.56039,0.52803,0.8364,0.52476,1.12596,0.003367,0.003367,0.003367
69,17513.2,0.85063,0.55557,1.11422,0.78691,0.75015,0.77018,0.56098,0.52827,0.83578,0.52408,1.12551,0.003268,0.003268,0.003268
70,17757.7,0.84936,0.55317,1.11504,0.78599,0.75064,0.77044,0.56097,0.52889,0.83506,0.52351,1.12497,0.003169,0.003169,0.003169
71,18002.2,0.84609,0.55044,1.11153,0.78675,0.75121,0.7713,0.56161,0.52953,0.83457,0.52294,1.12454,0.00307,0.00307,0.00307
72,18246.8,0.84304,0.54787,1.11083,0.78568,0.7522,0.77136,0.56236,0.52987,0.83397,0.52243,1.12406,0.002971,0.002971,0.002971
73,18491.5,0.84148,0.54529,1.1096,0.78694,0.75189,0.77228,0.56363,0.53069,0.83338,0.52161,1.12364,0.002872,0.002872,0.002872
74,18736.3,0.83835,0.54268,1.10632,0.78817,0.75225,0.77273,0.56388,0.53122,0.83284,0.52104,1.12322,0.002773,0.002773,0.002773
75,18984.4,0.83709,0.54236,1.10808,0.78758,0.75407,0.7734,0.56414,0.53207,0.83229,0.52058,1.12266,0.002674,0.002674,0.002674
76,19232.5,0.83603,0.54129,1.10538,0.7883,0.75477,0.77388,0.56568,0.53244,0.83177,0.51997,1.12235,0.002575,0.002575,0.002575
77,19479.1,0.83501,0.53981,1.1043,0.78874,0.75516,0.77427,0.56636,0.53301,0.8313,0.51941,1.12198,0.002476,0.002476,0.002476
78,19725.4,0.83165,0.53421,1.10375,0.78847,0.75651,0.77491,0.56774,0.53355,0.83077,0.51885,1.12152,0.002377,0.002377,0.002377
79,19971.6,0.8304,0.53587,1.10357,0.78865,0.75711,0.77518,0.56774,0.53431,0.83047,0.51841,1.12124,0.002278,0.002278,0.002278
80,20217.6,0.82945,0.53468,1.10373,0.78831,0.75803,0.77605,0.56844,0.53486,0.82995,0.51783,1.12088,0.002179,0.002179,0.002179
81,20463.7,0.82233,0.5278,1.09833,0.78879,0.75724,0.77615,0.56835,0.53518,0.8294,0.51733,1.12046,0.00208,0.00208,0.00208
82,20709,0.8225,0.52652,1.09693,0.78983,0.75866,0.77676,0.56964,0.53578,0.82882,0.51679,1.12003,0.001981,0.001981,0.001981
83,20953.7,0.82064,0.52713,1.09758,0.78967,0.75916,0.77691,0.57041,0.5363,0.82835,0.51647,1.11965,0.001882,0.001882,0.001882
84,21197.9,0.81754,0.52386,1.09399,0.79028,0.7588,0.77718,0.57098,0.53673,0.82781,0.51604,1.11918,0.001783,0.001783,0.001783
85,21442.6,0.81408,0.5196,1.09327,0.79099,0.7592,0.77761,0.5714,0.53723,0.82739,0.5157,1.11881,0.001684,0.001684,0.001684
86,21687.2,0.81177,0.51818,1.0921,0.79304,0.7586,0.77834,0.57205,0.5378,0.82693,0.51533,1.11847,0.001585,0.001585,0.001585
87,21931.9,0.81098,0.51682,1.08996,0.79329,0.7586,0.77857,0.5713,0.53806,0.82652,0.51509,1.1181,0.001486,0.001486,0.001486
88,22176.9,0.80615,0.51463,1.08849,0.79326,0.75975,0.77903,0.57199,0.53846,0.82609,0.5147,1.11769,0.001387,0.001387,0.001387
89,22421.7,0.80268,0.51179,1.08362,0.79347,0.75969,0.77958,0.57202,0.5389,0.82575,0.51439,1.1174,0.001288,0.001288,0.001288
90,22666.4,0.80257,0.50999,1.08592,0.79346,0.76039,0.77989,0.57241,0.5394,0.82535,0.51425,1.11714,0.001189,0.001189,0.001189
91,22918.8,0.77758,0.47626,1.08184,0.79394,0.76109,0.78036,0.57337,0.53975,0.82501,0.51387,1.1168,0.00109,0.00109,0.00109
92,23160.1,0.76881,0.46962,1.07527,0.79436,0.76164,0.78127,0.57378,0.54049,0.8245,0.51338,1.11633,0.000991,0.000991,0.000991
93,23400.9,0.76421,0.46417,1.07141,0.79071,0.76555,0.78169,0.57475,0.54096,0.8239,0.51272,1.11591,0.000892,0.000892,0.000892
