epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,325.614,3.97835,5.58447,4.28082,0.00116,0.00536,0.0005,5e-05,0.00014,nan,nan,nan,0.00332508,0.00332508,0.00332508
2,576.753,2.79952,3.61018,3.02669,0.67815,0.15863,0.15495,0.08855,0.08767,1.81159,2.20485,2.0817,0.0065925,0.0065925,0.0065925
3,828.323,1.68735,1.87852,1.7998,0.57897,0.26201,0.25196,0.14545,0.14387,1.53258,1.7543,1.72001,0.00979391,0.00979391,0.00979391
4,1079.34,1.43026,1.42771,1.54064,0.59251,0.3661,0.35322,0.21009,0.20791,1.30621,1.28182,1.50376,0.009703,0.009703,0.009703
5,1329.93,1.29657,1.1866,1.42675,0.62591,0.43405,0.42934,0.26199,0.25696,1.20691,1.01823,1.41977,0.009604,0.009604,0.009604
6,1579.97,1.23047,1.06964,1.37626,0.63388,0.47415,0.47728,0.29382,0.28792,1.14862,0.94758,1.37339,0.009505,0.009505,0.009505
7,1829.86,1.18031,0.98668,1.33879,0.65544,0.52339,0.52211,0.32387,0.31828,1.10331,0.88042,1.33136,0.009406,0.009406,0.009406
8,2080.24,1.14319,0.93245,1.31168,0.66857,0.53345,0.54519,0.34545,0.33578,1.08007,0.82823,1.30768,0.009307,0.009307,0.009307
9,2330.58,1.12087,0.89845,1.2943,0.68925,0.55387,0.56391,0.36133,0.35059,1.04829,0.80452,1.2843,0.009208,0.009208,0.009208
10,2581.03,1.09498,0.86468,1.27764,0.67107,0.58265,0.59031,0.38316,0.37049,1.03199,0.77571,1.26947,0.009109,0.009109,0.009109
11,2831.62,1.07904,0.83617,1.26477,0.67944,0.59653,0.60218,0.39442,0.38015,1.00868,0.75298,1.25355,0.00901,0.00901,0.00901
12,3082.14,1.06405,0.81768,1.25377,0.68379,0.60835,0.61858,0.40661,0.39322,0.9986,0.73052,1.24365,0.008911,0.008911,0.008911
13,3332.23,1.05266,0.80044,1.24634,0.69567,0.61713,0.63208,0.41711,0.40152,0.98477,0.71227,1.23179,0.008812,0.008812,0.008812
14,3582.04,1.04025,0.78179,1.23513,0.70457,0.63337,0.63936,0.42807,0.41129,0.973,0.69384,1.22414,0.008713,0.008713,0.008713
15,3833.25,1.02572,0.7656,1.22673,0.70786,0.64526,0.65823,0.4398,0.42309,0.96164,0.67606,1.2139,0.008614,0.008614,0.008614
16,4093.92,1.02072,0.75816,1.22258,0.7073,0.66088,0.66626,0.44996,0.43072,0.95124,0.6688,1.20514,0.008515,0.008515,0.008515
17,4345.33,1.00899,0.74239,1.21586,0.71578,0.66366,0.67134,0.45272,0.43486,0.94053,0.65357,1.20024,0.008416,0.008416,0.008416
18,4597.22,1.00275,0.73037,1.20925,0.72861,0.66653,0.68383,0.46638,0.4447,0.93665,0.64688,1.19476,0.008317,0.008317,0.008317
19,4847.22,0.99538,0.72368,1.20672,0.72249,0.67612,0.68646,0.46846,0.44914,0.92774,0.63841,1.18713,0.008218,0.008218,0.008218
20,5096.97,0.98781,0.71473,1.20035,0.72869,0.68218,0.69265,0.47414,0.45357,0.91862,0.62787,1.18262,0.008119,0.008119,0.008119
21,5346.53,0.98397,0.70821,1.2002,0.7288,0.69026,0.69829,0.48271,0.46059,0.91228,0.61847,1.17788,0.00802,0.00802,0.00802
22,5596.79,0.97576,0.69888,1.19175,0.73287,0.69401,0.70187,0.4824,0.46241,0.90719,0.61177,1.17183,0.007921,0.007921,0.007921
23,5845.71,0.97196,0.69319,1.19034,0.73126,0.69668,0.70405,0.48837,0.46509,0.90347,0.60713,1.17005,0.007822,0.007822,0.007822
24,6095.18,0.96648,0.68886,1.18805,0.74446,0.69697,0.71306,0.49488,0.47083,0.8986,0.60071,1.16518,0.007723,0.007723,0.007723
25,6344.97,0.96362,0.68416,1.18472,0.73805,0.70317,0.71426,0.4999,0.47377,0.89463,0.59492,1.16268,0.007624,0.007624,0.007624
26,6594.29,0.96048,0.67742,1.18196,0.74005,0.70865,0.71732,0.50232,0.47623,0.88907,0.59333,1.15828,0.007525,0.007525,0.007525
27,6843.56,0.95468,0.67259,1.17893,0.74114,0.70914,0.7203,0.50568,0.47932,0.88571,0.5883,1.15506,0.007426,0.007426,0.007426
28,7093.52,0.94913,0.66547,1.17416,0.74198,0.71049,0.72305,0.51007,0.48246,0.88277,0.58379,1.15295,0.007327,0.007327,0.007327
29,7343.17,0.94518,0.66209,1.17047,0.74058,0.72057,0.72519,0.51303,0.48487,0.87975,0.57939,1.15091,0.007228,0.007228,0.007228
30,7594.7,0.94407,0.65915,1.16879,0.74792,0.71676,0.7293,0.51585,0.48782,0.87653,0.57691,1.14866,0.007129,0.007129,0.007129
31,7851.49,0.93908,0.65438,1.16897,0.74592,0.72078,0.73036,0.51695,0.48918,0.87525,0.5747,1.14695,0.00703,0.00703,0.00703
32,8101.87,0.93609,0.64932,1.16596,0.75035,0.72328,0.73241,0.51718,0.49051,0.87348,0.57283,1.14533,0.006931,0.006931,0.006931
33,8351.69,0.93384,0.64833,1.16304,0.7554,0.72345,0.73365,0.51927,0.49183,0.87083,0.56985,1.14367,0.006832,0.006832,0.006832
34,8601.94,0.93093,0.6429,1.16297,0.75519,0.72544,0.73646,0.51989,0.49382,0.86817,0.56647,1.14157,0.006733,0.006733,0.006733
35,8851.64,0.92621,0.63931,1.15953,0.75745,0.72524,0.73876,0.52034,0.49552,0.86665,0.5643,1.1402,0.006634,0.006634,0.006634
36,9101.11,0.92604,0.63774,1.15913,0.7526,0.73096,0.74004,0.52139,0.49675,0.8647,0.56225,1.13872,0.006535,0.006535,0.006535
37,9350.54,0.91932,0.62921,1.15358,0.757,0.7304,0.74112,0.52548,0.49849,0.86287,0.56032,1.13743,0.006436,0.006436,0.006436
